#-------------------[ systemctl --all -l ] -----------------------#

  UNIT                                                                                                              LOAD      ACTIVE   SUB       DESCRIPTION
  getty-pre.target                                                                                                  loaded    inactive dead      Preparation for Logins
  getty.target                                                                                                      loaded    active   active    Login Prompts
  graphical.target                                                                                                  loaded    inactive dead      Graphical Interface
  halt.target                                                                                                       loaded    inactive dead      System Halt
  initrd-fs.target                                                                                                  loaded    inactive dead      Initrd File Systems
  initrd-root-device.target                                                                                         loaded    inactive dead      Initrd Root Device
  initrd-root-fs.target                                                                                             loaded    inactive dead      Initrd Root File System
  initrd-switch-root.target                                                                                         loaded    inactive dead      Switch Root
  initrd-usr-fs.target                                                                                              loaded    inactive dead      Initrd /usr File System
  initrd.target                                                                                                     loaded    inactive dead      Initrd Default Target
  local-fs-pre.target                                                                                               loaded    active   active    Preparation for Local File Systems
  local-fs.target                                                                                                   loaded    active   active    Local File Systems
  machine-@imx8mq.target                                                                                            loaded    active   active    imx8mq machine
  multi-user.target                                                                                                 loaded    active   active    Multi-User System
  network-online.target                                                                                             loaded    active   active    Network is Online
  network-pre.target                                                                                                loaded    inactive dead      Preparation for Network
  network.target                                                                                                    loaded    active   active    Network
  nss-lookup.target                                                                                                 loaded    active   active    Host and Network Name Lookups
  nss-user-lookup.target                                                                                            loaded    inactive dead      User and Group Name Lookups
  paths.target                                                                                                      loaded    active   active    Path Units
  reboot.target                                                                                                     loaded    inactive dead      System Reboot
  remote-fs-pre.target                                                                                              loaded    inactive dead      Preparation for Remote File Systems
  remote-fs.target                                                                                                  loaded    active   active    Remote File Systems
  rescue.target                                                                                                     loaded    inactive dead      Rescue Mode
  shutdown.target                                                                                                   loaded    inactive dead      System Shutdown
  slices.target                                                                                                     loaded    active   active    Slice Units
  sockets.target                                                                                                    loaded    active   active    Socket Units
  sound.target                                                                                                      loaded    active   active    Sound Card
  swap.target                                                                                                       loaded    active   active    Swaps
  sysinit.target                                                                                                    loaded    active   active    System Initialization
● syslog.target                                                                                                     not-found inactive dead      syslog.target
● sysman.target                                                                                                     not-found inactive dead      sysman.target
  time-set.target                                                                                                   loaded    inactive dead      System Time Set
  time-sync.target                                                                                                  loaded    inactive dead      System Time Synchronized
  timers.target                                                                                                     loaded    active   active    Timer Units
  umount.target                                                                                                     loaded    inactive dead      Unmount All Filesystems
  logrotate.timer                                                                                                   loaded    active   waiting   Daily rotation of log files
  systemd-tmpfiles-clean.timer                                                                                      loaded    active   waiting   Daily Cleanup of Temporary Directories
  upload-core-metrics.timer                                                                                         loaded    active   waiting   Upload "Core Metrics" Minutely
  upload-flatpak-list.timer                                                                                         loaded    active   waiting   Upload Flatpak list Daily
  upload-kernel-logs.timer                                                                                          loaded    active   waiting   Upload Kernel Logs Hourly
  upload-mmc-health.timer                                                                                           loaded    active   waiting   Upload MMC Health Daily
  upload-storage-usage.timer                                                                                        loaded    active   waiting   Upload Storage Usage Hourly

LOAD   = Reflects whether the unit definition was properly loaded.
ACTIVE = The high-level unit activation state, i.e. generalization of SUB.
SUB    = The low-level unit activation state, values depend on unit type.
340 loaded units listed.
To show all installed unit files use 'systemctl list-unit-files'.
